,base_idx,Campsite,f_idx,f_site,f_ratio,j_idx,j_site,j_ratio,s_idx,s_site,s_ratio
3531,706,荖濃有機農場露營區,1912,荖濃有機農場露營區,100.0,1912,荖濃有機農場露營區,1.0,1912,荖濃有機農場露營區,1.0
3565,713,月媽媽快樂露營區,268,快樂露營區,100.0,713,月媽媽快樂露營區,1.0,713,月媽媽快樂露營區,1.0
3575,715,大學林露營區,358,大學林,100.0,715,大學林露營區,1.0,715,大學林露營區,0.9999999999999998
3581,716,泗高露棧,1914,泗高露棧,100.0,1914,泗高露棧,1.0,1914,泗高露棧,0.9999999999999998
3600,720,167咖啡 海銀花園,718,海銀花園,100.0,720,167咖啡 海銀花園,1.0,720,167咖啡 海銀花園,1.0
3606,721,有夠遠露營區,1893,有夠遠露營區,100.0,1893,有夠遠露營區,1.0,1893,有夠遠露營區,1.0000000000000002
3616,723,老爺的家露營區,873,羅老爸的家露營區,85.71428571428572,1758,烏米的家露營區,0.6,1758,烏米的家露營區,0.75
3646,729,小野柳露營區,769,交通部觀光署東部海岸國家風景區管理處小野柳露營區,100.0,1834,小野柳滑草場露營區,0.75,1834,小野柳滑草場露營區,0.8660254037844388
3651,730,曉晴星空露營地,68,星空谷露營地,90.9090909090909,1528,星空夜語露營地,0.6,1528,星空夜語露營地,0.75
3690,738,三姊快樂露營區,268,快樂露營區,100.0,738,三姊快樂露營區,1.0,738,三姊快樂露營區,1.0
3845,769,交通部觀光署東部海岸國家風景區管理處小野柳露營區,729,小野柳露營區,100.0,769,交通部觀光署東部海岸國家風景區管理處小野柳露營區,1.0,769,交通部觀光署東部海岸國家風景區管理處小野柳露營區,1.0
4106,821,好柿抵嘉農場,1897,好柿抵嘉農場,100.0,1897,好柿抵嘉農場,1.0,1897,好柿抵嘉農場,0.9999999999999998
4121,824,淺山尋露,1879,淺山尋露,100.0,1879,淺山尋露,1.0,1879,淺山尋露,0.9999999999999998
4126,825,晨光露營區(狩獵帳),1899,晨光,100.0,1449,寬闊露營區(狩獵帳),0.6666666666666666,1449,寬闊露營區(狩獵帳),0.7999999999999999
4127,825,晨光露營區(狩獵帳),901,阿里山螢火蟲露營區(狩獵帳),88.88888888888889,901,阿里山螢火蟲露營區(狩獵帳),0.5714285714285714,901,阿里山螢火蟲露營區(狩獵帳),0.7302967433402215
4128,825,晨光露營區(狩獵帳),1151,高台山露營區(狩獵帳),88.88888888888889,1163,漫步天湖露營區(狩獵帳),0.5714285714285714,1163,漫步天湖露營區(狩獵帳),0.7302967433402215
4131,826,來灣哈露營區,906,來灣哈露營區(B區),100.0,1894,來灣哈露營區,1.0,1894,來灣哈露營區,1.0000000000000002
4136,827,草地狀元露營區,1878,草地狀元露營區,100.0,1878,草地狀元露營區,1.0,1878,草地狀元露營區,1.0000000000000002
4151,830,太和觀光果園露營區,1902,太和觀光果園露營區,100.0,1902,太和觀光果園露營區,1.0,1902,太和觀光果園露營區,1.0
4165,833,吉恩典山丘露營區,98,吉恩典山丘,100.0,833,吉恩典山丘露營區,1.0,833,吉恩典山丘露營區,1.0
4176,835,達邦村受不寮露營區,1896,受不寮露營區,100.0,1896,受不寮露營區,0.8,1896,受不寮露營區,0.8944271909999159
4191,838,星知心露營區,1885,星知心露營區,100.0,1885,星知心露營區,1.0,1885,星知心露營區,1.0000000000000002
4196,839,星晴朗露營區,1906,星晴朗露營區,100.0,1906,星晴朗露營區,1.0,1906,星晴朗露營區,1.0000000000000002
4206,841,天長地久露營區,1901,天長地久露營區,100.0,1901,天長地久露營區,1.0,1901,天長地久露營區,1.0000000000000002
4216,843,景山露營區,1890,景山露營區,100.0,1890,景山露營區,1.0,1890,景山露營區,0.9999999999999998
4236,847,小森林露營區,1939,森林露營區,100.0,1939,森林露營區,0.6666666666666666,1939,森林露營區,0.816496580927726
4276,855,老鼠溪咖啡莊園營區Ａ區,904,老鼠溪咖啡莊園營區C區,90.9090909090909,904,老鼠溪咖啡莊園營區C區,0.75,904,老鼠溪咖啡莊園營區C區,0.8571428571428569
4296,859,拉拉克斯莊園,1877,拉拉克斯莊園,100.0,1877,拉拉克斯莊園,1.0,1877,拉拉克斯莊園,1.0000000000000002
4311,862,禾田農莊,1895,禾田農莊,100.0,1895,禾田農莊,1.0,1895,禾田農莊,0.9999999999999998
4315,863,山樂園,577,大雪山 茂山樂園,100.0,863,山樂園,1.0,863,山樂園,1.0
4346,869,林間秘境露營區,1497,秘境露營區,100.0,1497,秘境露營區,0.6666666666666666,1497,秘境露營區,0.816496580927726
4350,870,三寶山露營區,101,三寶山露營區,100.0,101,三寶山露營區,1.0,101,三寶山露營區,0.9999999999999998
4361,872,天一露營區,1880,天一露營區,100.0,1880,天一露營區,1.0,1880,天一露營區,0.9999999999999998
4396,879,玉讚露營區,245,按個讚露營區,88.88888888888889,245,按個讚露營區,0.5714285714285714,245,按個讚露營區,0.7302967433402215
4410,882,美淞露營地,100,美淞露營地,100.0,100,美淞露營地,1.0,100,美淞露營地,0.9999999999999998
4426,885,荒郊野外露營區,1904,荒郊野外露營區,100.0,1904,荒郊野外露營區,1.0,1904,荒郊野外露營區,0.9999999999999998
4430,886,汪爸露營區,103,汪爸露營區,100.0,103,汪爸露營區,1.0,103,汪爸露營區,0.9999999999999998
4446,889,塘湖古道露營農場停車場一,1907,塘湖古道露營農場,100.0,1907,塘湖古道露營農場,0.6666666666666666,1907,塘湖古道露營農場,0.8164965809277261
4461,892,阿里山迷糊露營區,97,阿里山 迷糊露營區,87.5,97,阿里山 迷糊露營區,0.75,97,阿里山 迷糊露營區,0.8660254037844388
4471,894,塘湖古道休閒農場,1134,準休閒農場,88.88888888888889,1907,塘湖古道露營農場,0.6,1907,塘湖古道露營農場,0.75
4486,897,琢英露營場,1883,琢英露營場,100.0,1883,琢英露營場,1.0,1883,琢英露營場,0.9999999999999998
4506,901,阿里山螢火蟲露營區(狩獵帳),1886,阿里山螢火蟲,100.0,825,晨光露營區(狩獵帳),0.5714285714285714,825,晨光露營區(狩獵帳),0.7302967433402215
4507,901,阿里山螢火蟲露營區(狩獵帳),825,晨光露營區(狩獵帳),88.88888888888889,1449,寬闊露營區(狩獵帳),0.5714285714285714,1449,寬闊露營區(狩獵帳),0.7302967433402215
4516,903,鷺野之家,1905,鷺野之家,100.0,1905,鷺野之家,1.0,1905,鷺野之家,1.0
4521,904,老鼠溪咖啡莊園營區C區,855,老鼠溪咖啡莊園營區Ａ區,90.9090909090909,855,老鼠溪咖啡莊園營區Ａ區,0.75,855,老鼠溪咖啡莊園營區Ａ區,0.8571428571428569
4530,906,來灣哈露營區(B區),826,來灣哈露營區,100.0,906,來灣哈露營區(B區),1.0,906,來灣哈露營區(B區),0.9999999999999996
4550,910,草地兄弟露營區,102,草地兄弟,100.0,910,草地兄弟露營區,1.0,910,草地兄弟露營區,1.0000000000000002
4631,926,Syano夏諾營露營區,1925,夏諾營露營區,100.0,1925,夏諾營露營區,0.75,1925,夏諾營露營區,0.8660254037844388
4646,929,天梯露營區,1924,天梯露營區,100.0,1924,天梯露營區,1.0,1924,天梯露營區,0.9999999999999998
4666,933,幸福城景觀露營區,1915,幸福城景觀露營區,100.0,1915,幸福城景觀露營區,1.0,1915,幸福城景觀露營區,1.0
4671,934,天際線茶園營地,1916,天際線茶園營地,100.0,1916,天際線茶園營地,1.0,1916,天際線茶園營地,1.0000000000000002
4691,938,雲端紅土咖啡露營區,1926,雲端紅土咖啡露營區,100.0,1926,雲端紅土咖啡露營區,1.0,1926,雲端紅土咖啡露營區,1.0
4695,939,無憂花露營區,112,無憂花露營區,100.0,112,無憂花露營區,1.0,112,無憂花露營區,1.0000000000000002
4700,940,橘子園露營區,107,橘子園露營區,100.0,107,橘子園露營區,1.0,107,橘子園露營區,1.0000000000000002
4756,951,原最露營區,1936,原最露營區,100.0,1936,原最露營區,1.0,1936,原最露營區,1.0000000000000002
4785,957,又想露營趣,113,又想露營趣,100.0,113,又想露營趣,1.0,113,又想露營趣,1.0000000000000002
4790,958,飛亞蘭露營區,105,飛亞蘭露營區,100.0,105,飛亞蘭露營區,1.0,105,飛亞蘭露營區,0.9999999999999998
4806,961,幸福瑪崙露營區,1937,幸福瑪崙露營區,100.0,1937,幸福瑪崙露營區,1.0,1937,幸福瑪崙露營區,1.0000000000000002
4811,962,五葉松林休閒露營區,1929,五葉松林休閒露營區,100.0,1929,五葉松林休閒露營區,1.0,1929,五葉松林休閒露營區,1.0
4820,964,山谷星空,108,山谷星空露營區,100.0,964,山谷星空,1.0,964,山谷星空,0.9999999999999998
4826,965,斯揚莫那休閒莊園,1920,斯揚莫那休閒莊園,100.0,1920,斯揚莫那休閒莊園,1.0,1920,斯揚莫那休閒莊園,1.0
4846,969,山谷樂生態園區民宿露營,1932,山谷樂生態露營園區,87.5,1932,山谷樂生態露營園區,0.8,1932,山谷樂生態露營園區,0.8944271909999159
4866,973,宇世格爵露營區,1928,宇世格爵露營區,100.0,1928,宇世格爵露營區,1.0,1928,宇世格爵露營區,1.0000000000000002
4876,975,太平山森活趣渡假農場,1931,太平山森活趣渡假農場,100.0,1931,太平山森活趣渡假農場,1.0,1931,太平山森活趣渡假農場,1.0
4880,976,Uwah露營區,111,Uwah露營區,100.0,111,Uwah露營區,1.0,111,Uwah露營區,0.9999999999999998
4921,984,金岳秘境露營區,1497,秘境露營區,100.0,1497,秘境露營區,0.6666666666666666,1497,秘境露營區,0.816496580927726
4950,990,愛露營,75,愛露營商店,100.0,990,愛露營,1.0,990,愛露營,1.0
5086,1017,快樂白沙露營區,1075,白沙露營區,100.0,1075,白沙露營區,0.6666666666666666,1075,白沙露營區,0.816496580927726
5110,1022,沿山森林秘境〔🌲桃花心木森林步道🌲〕,1019,沿山森林秘境,100.0,1022,沿山森林秘境〔🌲桃花心木森林步道🌲〕,1.0,1022,沿山森林秘境〔🌲桃花心木森林步道🌲〕,0.9999999999999998
5160,1032,賽嘉樂園營地,1013,賽嘉樂園,100.0,1032,賽嘉樂園營地,1.0,1032,賽嘉樂園營地,0.9999999999999998
5165,1033,河畔露營區,297,南庄河畔露營區,100.0,1033,河畔露營區,1.0,1033,河畔露營區,0.9999999999999998
5290,1058,車露,640,華中露營場汽車露營區,100.0,1058,車露,1.0,1058,車露,1.0
5320,1064,樂園露營區,394,曉樂園露營區,100.0,1064,樂園露營區,1.0,1064,樂園露營區,0.9999999999999998
5375,1075,白沙露營區,1017,快樂白沙露營區,100.0,1075,白沙露營區,1.0,1075,白沙露營區,0.9999999999999998
5545,1109,公司一星伴,588,一星伴,100.0,1109,公司一星伴,1.0,1109,公司一星伴,0.9999999999999998
5616,1123,坪林長青露營區,1805,長青露營區,100.0,1805,長青露營區,0.75,1805,長青露營區,0.8660254037844388
5626,1125,坪林露營,1130,坪林露營,100.0,1130,坪林露營,1.0,1130,坪林露營,0.9999999999999998
5636,1127,頭目山水,1681,頭目山水,100.0,1681,頭目山水,1.0,1681,頭目山水,0.9999999999999998
5640,1128,福山達卡露營區,115,福山達卡露營區,100.0,115,福山達卡露營區,1.0,115,福山達卡露營區,1.0000000000000002
5645,1129,福山大羅蘭露營區,114,大羅蘭,100.0,1129,福山大羅蘭露營區,1.0,1129,福山大羅蘭露營區,1.0000000000000002
5650,1130,坪林露營,1125,坪林露營,100.0,1125,坪林露營,1.0,1125,坪林露營,0.9999999999999998
5675,1135,車床天地,680,楠西碧園(車床天地棧點),100.0,1135,車床天地,1.0,1135,車床天地,0.9999999999999998
5715,1143,樂見山露營區,219,樂見山,100.0,1143,樂見山露營區,1.0,1143,樂見山露營區,1.0000000000000002
5730,1146,爺亨溪岸露營區,239,爺亨溪岸,100.0,1146,爺亨溪岸露營區,1.0,1146,爺亨溪岸露營區,0.9999999999999998
5736,1147,臻美營地,1737,臻美營地,100.0,1737,臻美營地,1.0,1737,臻美營地,1.0000000000000002
5737,1147,臻美營地,1756,臻美營地,100.0,1756,臻美營地,1.0,1756,臻美營地,1.0000000000000002
5750,1150,戀戀天湖露營區,182,天湖露營區,100.0,1150,戀戀天湖露營區,1.0,1150,戀戀天湖露營區,1.0000000000000002
5752,1150,戀戀天湖露營區,1167,天湖露營區,100.0,1167,天湖露營區,0.6666666666666666,1167,天湖露營區,0.816496580927726
5753,1150,戀戀天湖露營區,1781,戀戀天湖,100.0,1781,戀戀天湖,0.6666666666666666,1781,戀戀天湖,0.816496580927726
5766,1153,童話森林露營地,1196,八五森林露營地,83.33333333333334,1196,八五森林露營地,0.6,1196,八五森林露營地,0.75
5786,1157,馬瀨營地,1773,馬瀨營地,100.0,1773,馬瀨營地,1.0,1773,馬瀨營地,1.0000000000000002
5796,1159,遊橘露營區,1772,遊橘露營區,100.0,1772,遊橘露營區,1.0,1772,遊橘露營區,0.9999999999999998
5815,1163,漫步天湖露營區(狩獵帳),182,天湖露營區,100.0,1163,漫步天湖露營區(狩獵帳),1.0,1163,漫步天湖露營區(狩獵帳),1.0000000000000002
5817,1163,漫步天湖露營區(狩獵帳),1167,天湖露營區,100.0,1449,寬闊露營區(狩獵帳),0.5714285714285714,1449,寬闊露營區(狩獵帳),0.7302967433402215
5821,1164,明園星空營地,1750,明園星空營地,100.0,1750,明園星空營地,1.0,1750,明園星空營地,1.0000000000000002
5826,1165,梅后蔓露營區,1764,梅后蔓露營區,100.0,1764,梅后蔓露營區,1.0,1764,梅后蔓露營區,1.0000000000000002
5835,1167,天湖露營區,182,天湖露營區,100.0,182,天湖露營區,1.0,182,天湖露營區,0.9999999999999998
5836,1167,天湖露營區,199,雲頂天湖露營區,100.0,1167,天湖露營區,1.0,1167,天湖露營區,0.9999999999999998
5837,1167,天湖露營區,1150,戀戀天湖露營區,100.0,199,雲頂天湖露營區,0.6666666666666666,199,雲頂天湖露營區,0.816496580927726
5838,1167,天湖露營區,1163,漫步天湖露營區(狩獵帳),100.0,1150,戀戀天湖露營區,0.6666666666666666,1150,戀戀天湖露營區,0.816496580927726
5846,1169,晴空森林,1777,晴空森林露營區,100.0,1777,晴空森林露營區,0.6666666666666666,1777,晴空森林露營區,0.816496580927726
5855,1171,相思園露營區,178,相思園露營區,100.0,178,相思園露營區,1.0,178,相思園露營區,1.0000000000000002
5865,1173,巴萬五峰露營區,127,巴萬五峰,100.0,1173,巴萬五峰露營區,1.0,1173,巴萬五峰露營區,1.0000000000000002
5881,1176,熊麻吉親子露營區,1741,熊麻吉親子露營區,100.0,1741,熊麻吉親子露營區,1.0,1741,熊麻吉親子露營區,1.0000000000000002
5885,1177,馬武督露營趣,161,馬武督露營趣,100.0,161,馬武督露營趣,1.0,161,馬武督露營趣,1.0000000000000002
5896,1179,馬月台露營區,1736,馬月台露營區,100.0,1736,馬月台露營區,1.0,1736,馬月台露營區,1.0000000000000002
5901,1180,喜嵐田園露營區,1732,喜嵐田園露營區,100.0,1732,喜嵐田園露營區,1.0,1732,喜嵐田園露營區,0.9999999999999998
5910,1182,格步霧露營區(新竹縣五峰鄉),137,格步霧露營區,100.0,1182,格步霧露營區(新竹縣五峰鄉),1.0,1182,格步霧露營區(新竹縣五峰鄉),1.0000000000000002
5926,1185,景色天地露營區,1747,景色天地露營區,100.0,1747,景色天地露營區,1.0,1747,景色天地露營區,1.0000000000000002
5945,1189,蟬說: 霧繞 Chanshuo Woorao glamping,508,蟬說,100.0,1189,蟬說: 霧繞 Chanshuo Woorao glamping,1.0,1189,蟬說: 霧繞 Chanshuo Woorao glamping,0.9999999999999996
5951,1190,福興小農庄,1776,福興小農庄,100.0,1776,福興小農庄,1.0,1776,福興小農庄,0.9999999999999998
5961,1192,觀雲露營區,1752,觀雲露營區,100.0,1752,觀雲露營區,1.0,1752,觀雲露營區,0.9999999999999998
5965,1193,山的那一邊露營區,165,山的那一邊,100.0,1193,山的那一邊露營區,1.0,1193,山的那一邊露營區,1.0
5970,1194,Payan露營區,164,Payan露營區,100.0,164,Payan露營區,1.0,164,Payan露營區,0.9999999999999998
5981,1196,八五森林露營地,1153,童話森林露營地,83.33333333333334,1153,童話森林露營地,0.6,1153,童話森林露營地,0.75
6006,1201,關西大象露營地,1726,大象露營地,100.0,1726,大象露營地,0.75,1726,大象露營地,0.8660254037844388
6010,1202,小米露營區,173,小米露營區,100.0,173,小米露營區,1.0,173,小米露營區,0.9999999999999998
6015,1203,營墅風晴露營區,205,營墅風晴露營區,100.0,205,營墅風晴露營區,1.0,205,營墅風晴露營區,1.0000000000000002
6031,1206,星院露營區,1746,星院露營區,100.0,1746,星院露營區,1.0,1746,星院露營區,0.9999999999999998
6040,1208,石牛山露營區,176,石牛山露營區,100.0,176,石牛山露營區,1.0,176,石牛山露營區,0.9999999999999998
6050,1210,花湖美地露營區,143,花湖美地,100.0,1210,花湖美地露營區,1.0,1210,花湖美地露營區,1.0000000000000002
6060,1212,閣馬雅農場附設露營區,139,閣馬雅農場,100.0,1212,閣馬雅農場附設露營區,1.0,1212,閣馬雅農場附設露營區,1.0
6066,1213,KT露營區,1735,KT露營區,100.0,1735,KT露營區,1.0,1735,KT露營區,0.9999999999999998
6081,1216,溪遊記露營區,1742,溪遊記露營區,100.0,1742,溪遊記露營區,1.0,1742,溪遊記露營區,1.0000000000000002
6106,1221,仙境露營區,1552,夢遊仙境露營區,100.0,1552,夢遊仙境露營區,0.6666666666666666,1552,夢遊仙境露營區,0.816496580927726
6107,1221,仙境露營區,1628,萬山仙境露營區,100.0,1628,萬山仙境露營區,0.6666666666666666,1628,萬山仙境露營區,0.816496580927726
6161,1232,印象尖石露營區,1743,印象尖石露營區,100.0,1743,印象尖石露營區,1.0,1743,印象尖石露營區,1.0000000000000002
6175,1235,霞喀羅露營地,169,霞喀羅,100.0,1235,霞喀羅露營地,1.0,1235,霞喀羅露營地,0.9999999999999998
6185,1237,杉嵐營地,177,杉嵐營地,100.0,177,杉嵐營地,1.0,177,杉嵐營地,0.9999999999999998
6196,1239,尤命築園露營區,1720,尤命築園露營區,100.0,1720,尤命築園露營區,1.0,1720,尤命築園露營區,0.9999999999999998
6200,1240,高山寨露營區,140,高山寨露營區,100.0,140,高山寨露營區,1.0,140,高山寨露營區,1.0000000000000002
6206,1241,小尖石露營區,1729,小尖石露營區,100.0,1729,小尖石露營區,1.0,1729,小尖石露營區,1.0000000000000002
6210,1242,露露米露營區,150,露露米露營區,100.0,150,露露米露營區,1.0,150,露露米露營區,1.0000000000000002
6230,1246,大東田露營區,131,大東田露營區,100.0,131,大東田露營區,1.0,131,大東田露營區,0.9999999999999998
6250,1250,鐵露局露營區,185,鐵露局露營區,100.0,185,鐵露局露營區,1.0,185,鐵露局露營區,1.0000000000000002
6255,1251,蟬說: 霧語 Chanshuo WooYuu,508,蟬說,100.0,1251,蟬說: 霧語 Chanshuo WooYuu,1.0,1251,蟬說: 霧語 Chanshuo WooYuu,1.0
6265,1253,雪花的露營區,193,雪花的露營區,100.0,193,雪花的露營區,1.0,193,雪花的露營區,1.0000000000000002
6275,1255,老牛露營區,151,老牛露營區,100.0,151,老牛露營區,1.0,151,老牛露營區,0.9999999999999998
6281,1256,梅花梯田免裝備露營區,1778,梅花梯田免裝備露營區,100.0,1778,梅花梯田免裝備露營區,1.0,1778,梅花梯田免裝備露營區,1.0
6301,1260,尖石鄉 星光閃閃露營區,1755,玉峰 星光閃閃露營區,88.88888888888889,1755,玉峰 星光閃閃露營區,0.5714285714285714,1755,玉峰 星光閃閃露營區,0.7302967433402215
6305,1261,梅村露營區,160,梅村露營區,100.0,160,梅村露營區,1.0,160,梅村露營區,0.9999999999999998
6321,1264,沒搞頭露營區,1698,沒搞頭露營區,100.0,1698,沒搞頭露營區,1.0,1698,沒搞頭露營區,1.0
6326,1265,美腿山親子露營區,1696,美腿山親子露營區,100.0,1696,美腿山親子露營區,1.0,1696,美腿山親子露營區,1.0000000000000002
6351,1270,亞霧香草營區,1717,亞霧香草營區,100.0,1717,亞霧香草營區,1.0,1717,亞霧香草營區,1.0000000000000002
6360,1272,Kusu 庫司景觀露營區,217,庫司景觀露營區,100.0,1272,Kusu 庫司景觀露營區,1.0,1272,Kusu 庫司景觀露營區,1.0
6366,1273,叢林開始懶人露營區Glamping,1457,叢林開始懶人露營區Glamping,100.0,1457,叢林開始懶人露營區Glamping,1.0,1457,叢林開始懶人露營區Glamping,1.0
6371,1274,溫度露營區,1710,溫度露營區,100.0,1710,溫度露營區,1.0,1710,溫度露營區,0.9999999999999998
6386,1277,比亞山露營區,1683,比亞山露營區,100.0,1683,比亞山露營區,1.0,1683,比亞山露營區,0.9999999999999998
6416,1283,布納星空露營區,1719,布納星空露營區,100.0,1719,布納星空露營區,1.0,1719,布納星空露營區,1.0000000000000002
6425,1285,利河伯休閒農園露營區,218,利河伯休閒農園露營區,100.0,218,利河伯休閒農園露營區,1.0,218,利河伯休閒農園露營區,1.0
6441,1288,泰雅秘境露營區,1497,秘境露營區,100.0,1704,泰雅秘境露營區,1.0,1704,泰雅秘境露營區,1.0000000000000002
6442,1288,泰雅秘境露營區,1704,泰雅秘境露營區,100.0,1497,秘境露營區,0.6666666666666666,1497,秘境露營區,0.816496580927726
6445,1289,蜻蜓露營區,227,蜻蜓露營區-嘎色鬧,100.0,1289,蜻蜓露營區,1.0,1289,蜻蜓露營區,0.9999999999999998
6460,1292,比固花園,206,比固花園,100.0,206,比固花園,1.0,206,比固花園,0.9999999999999998
6471,1294,達彥休閒露營區,1716,達彥休閒露營區,100.0,1716,達彥休閒露營區,1.0,1716,達彥休閒露營區,1.0000000000000002
